,corr_across_people
ATM1.jpg,0.5
ATM4.jpg,0.6
HorseRaceTrack.jpg,0.79
RVinside2.jpg,0.88
ShowJumping7.jpg,0.55
airplanecabin1.jpg,0.99
airplanecabin3.jpg,0.45
airplanecabin5.jpg,0.71
airportTerminal2.jpg,0.27
airportTerminal3.jpg,0.7
airportTerminal4.jpg,0.71
airportTerminal6.jpg,0.8
alley1.jpg,0.82
alley2.jpg,0.58
alley3.jpg,0.77
alley4.jpg,0.97
amusement3.jpg,0.66
apartmentBuilding1.jpg,0.72
apartmentBuilding2.jpg,0.51
apartmentBuilding3.jpg,0.6
apartmentBuilding4.jpg,0.63
appleorchard2.jpg,0.48
appleorchard3.jpg,0.76
appleorchard4.jpg,0.71
applestore1.jpg,0.66
applestore2.jpg,0.64
applestore4.jpg,0.41
applestore6.jpg,0.87
aquarium1.jpg,0.93
arcade1.jpg,0.73
arcade2.jpg,0.7
artStudio1.jpg,0.46
artStudio3.jpg,0.75
attic1.jpg,0.74
attic2.jpg,0.79
attic3.jpg,0.84
attic4.jpg,0.86
auto_showroom1.jpg,0.11
auto_showroom3.jpg,0.65
auto_showroom4.jpg,0.47
auto_showroom5.jpg,0.19
backstage1.jpg,0.43
backstage2.jpg,0.81
backyard1.jpg,0.59
backyard2.jpg,0.51
backyard5.jpg,0.59
backyard6.jpg,0.59
baggageClaim1.jpg,0.65
baggageClaim2.jpg,0.77
baggageClaim3.jpg,0.71
baggageClaim4.jpg,0.83
balconyIN.jpg,0.57
balconyIN2.jpg,0.81
ballroom1.jpg,0.73
ballroom2.jpg,0.39
ballroom3.jpg,0.54
ballroom4.jpg,0.53
bambooforest.jpg,0.74
bambooforest3.jpg,0.87
bambooforest4.jpg,0.98
bambooforest5.jpg,0.74
banquetHall2.jpg,0.61
banquetHall4.jpg,0.79
banquetHall6.jpg,0.72
bar.jpg,0.84
bar2.jpg,0.62
bar8.jpg,0.06
barbershop2.jpg,0.66
barbershop3.jpg,0.77
baseball6.jpg,0.51
basement.jpg,0.61
basement5.jpg,0.68
basement6.jpg,0.72
basketballcourt.jpg,0.81
basketballcourt3.jpg,0.62
basketballcourt4.jpg,0.46
basketballcourt7.jpg,0.55
baywindow5.jpg,0.58
beach1.jpeg,0.36
beach2.jpg,0.39
bedroom6.jpg,0.76
bikerack1.jpg,0.15
bistrooutdoor5.jpg,0.8
bistrooutdoor6.jpg,0.15
bleachers5.jpg,0.49
bleachers6.jpg,0.56
bleachers7.jpg,0.49
bleachers8.jpg,0.62
boardwalk.jpg,0.63
boardwalk2.jpg,0.52
boardwalk4.jpg,0.8
boardwalk6.jpg,0.92
botanicalGarden4.jpg,0.61
botanicalGarden5.jpg,0.65
botanicalGarden6.jpg,0.26
botanicalGarden7.jpg,0.74
bowlingalley3.jpg,0.43
bowlingalley5.jpg,0.38
breakroom2.jpg,0.65
breakroom4.jpg,0.67
breakroom5.jpg,0.55
brewery2.jpg,0.96
brewery4.jpg,0.62
bridalboutique2.jpg,0.78
bridalboutique3.jpg,0.82
bus_shelter.jpg,0.53
bus_shelter3.jpg,0.49
cabin3.jpg,0.6
cabin4.jpg,0.65
cabinIndoors.jpg,0.31
cabinIndoors5.jpg,0.51
cafeteria1.jpg,0.15
cafeteria5.jpg,0.8
cafeteria6.jpg,0.76
campsite.jpg,0.85
campsite3.jpg,0.57
campsite6.jpg,0.47
campsite7.jpg,0.6
campusquad1.jpg,0.75
campusquad2.jpg,0.05
campusquad3.jpg,0.6
campusquad4.jpg,0.64
cargo5.jpg,0.77
carmechanic.jpg,0.62
carmechanic2.jpg,0.3
carmechanic4.jpeg,0.57
casino1.jpg,0.78
casino3.jpg,0.48
castle2.jpg,0.7
castle3.jpg,0.43
castle4.jpg,0.62
cave.jpg,0.53
cave4.jpg,0.56
cave5.jpg,0.54
cave6.jpg,0.27
cemetery.jpg,0.71
cemetery3.jpg,0.85
cemetery5.jpg,0.65
cemetery6.jpg,0.59
checkoutcounter2.jpg,0.82
checkoutcounter9.jpg,0.65
church3.jpg,0.11
church4.jpg,0.31
church6.jpg,0.62
church8.jpg,0.59
