StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q79,Q8_Browser,Q8_Version,Q8_Operating System,Q8_Resolution,Q9,Q10,Q11,Q12,Q14,Q15,Q15_6_TEXT,Q16,Q16_4_TEXT,Q17,Q17_8_TEXT,SBSOD_1_1,SBSOD_2_1,SBSOD_3_1,SBSOD_4_1,SBSOD_5_1,SBSOD_6_1,SBSOD_7_1,SBSOD_8_1,SBSOD_9_1,SBSOD_10_1,SBSOD_11_1,SBSOD_12_1,SBSOD_13_1,SBSOD_14_1,SBSOD_15_1,VVIQ_1_Open_1,VVIQ_2_Open_1,VVIQ_3_Open_1,VVIQ_4_Open_1,VVIQ_5_Open_1,VVIQ_6_Open_1,VVIQ_7_Open_1,VVIQ_8_Open_1,VVIQ_9_Open_1,VVIQ_10_Open_1,VVIQ_11_Open_1,VVIQ_12_Open_1,VVIQ_13_Open_1,VVIQ_14_Open_1,VVIQ_15_Open_1,VVIQ_16_Open_1,VVIQ_1_Closed_1,VVIQ_2_Closed_1,VVIQ_3_Closed_1,VVIQ_4_Closed_1,VVIQ_5_Closed_1,VVIQ_6_Closed_1,VVIQ_7_Closed_1,VVIQ_8_Closed_1,VVIQ_9_Closed_1,VVIQ_10_Closed_1,VVIQ_11_Closed_1,VVIQ_12_Closed_1,VVIQ_13_Closed_1,VVIQ_14_Closed_1,VVIQ_15_Closed_1,VVIQ_16_Closed_1,Q95,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Now that you have read through the consent form, do you wish to participate in this study?",Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,What is your age?,"How many years of education have you completed? 
 

Completing high school is equivalent to 12 years of education (e.g., an undergraduate student will have completed 14 years of education by the end of their second year at college / university).",Is English your first language?,Do you normally write with your right hand?,What sex were you assigned at birth?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (please specify) - Text,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Other (please specify) - Text,What is your race / ethnicity? - Selected Choice,What is your race / ethnicity? - Other (please specify) - Text,1) - I am very good at giving directions.,2) - I have a poor memory for where I left things.,3) - I am very good at judging distances.,"4) - My ""sense of direction"" is very good.","5) - I tend to think of my environment in terms of cardinal directions (N, S, E, W).",6) - I very easily get lost in a new city.,7) - I enjoy reading maps.,8) - I have trouble understanding directions.,9) - I am very good at reading maps.,10) - I don't remember routes very well while riding as a passenger in a car.,11) - I don't enjoy giving directions.,12) - It's not important to me to know where I am.,13) - I usually let someone else do the navigational planning for long trips.,14) - I can usually remember a new route after I have traveled it only once.,"15) - I don't have a very good ""mental map"" of my environment.","1) - The exact contour of face, head, shoulders and body","2) - Characteristic poses of head, attitudes of body, etc.","3) - The precise carriage, length of step, etc. in walking",4) - The different colors worn in some familiar clothes.,5) - The sun is rising above the horizon into a hazy sky.,6) - The sky clears and surrounds the sun with blueness.,7) - Clouds. A storm blows up with flashes of lightning.,8) - A rainbow appears.,9) - The overall appearance of the shop from the opposite side of the road.,"10) - A window display including colors, shape, and details of each individual item for sale.","11) - You are near the entrance. The color, shape, and details of the door.",12) - You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,13) - The contours of the landscape.,14) - The color and shape of the trees.,15) - The color and shape of the lake.,16) - A strong wind blows on the tree and on the lake causing waves.,"1) - The exact contour of face, head, shoulders and body","2) - Characteristic poses of head, attitudes of body, etc.","3) - The precise carriage, length of step, etc. in walking.",4) - The different colors worn in some familiar clothes.,5) - The sun is rising above the horizon into a hazy sky.,6) - The sky clears and surrounds the sun with blueness,7) - Clouds. A storm blows up with flashes of lightning.,8) - A rainbow appears.,9) - The overall appearance of the shop from the opposite side of the road.,"10) - A window display including colors, shape, and details of each individual item for sale.","11) - You are near the entrance. The color, shape, and details of the door.",12) - You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,13) - The contours of the landscape.,14) - The color and shape of the trees.,15) - The color and shape of the lake.,16) - A strong wind blows on the tree and on the lake causing waves.,Please enter the verification code you received at the end of the previous task.,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID100""}","{""ImportId"":""QID8_BROWSER""}","{""ImportId"":""QID8_VERSION""}","{""ImportId"":""QID8_OS""}","{""ImportId"":""QID8_RESOLUTION""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_8_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""id""}"
2020-11-03 18:24:21,2020-11-03 18:45:08,IP Address,98.180.251.9,100,1247,True,2020-11-03 18:45:09,R_1d6lmUYMUWfFs9N,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,,Chrome,86.0.4240.111,Windows NT 10.0,1500x1000,19,13,not english,right,male,man,,heterosexual,,hisp,,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat agree,Strongly disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44532
2020-11-03 18:24:09,2020-11-03 18:49:11,IP Address,209.251.153.2,100,1502,True,2020-11-03 18:49:11,R_31A62DSwJM3vzGM,,,,,29.6515045166015625,-82.34929656982421875,anonymous,EN,,Safari,14.0,Macintosh,1680x1050,20,2,not english,right,male,man,,heterosexual,,"hisp,white",,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neutral,Disagree,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44402
2020-10-28 08:03:25,2020-10-28 08:36:53,IP Address,24.48.215.202,99,2008,False,2020-11-04 07:37:06,R_2uJ2zdqkvdvNHii,,,,,,,anonymous,EN,,Chrome,86.0.4240.111,Macintosh,1366x768,19,13,not english,right,female,woman,,heterosexual,,hisp,,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Disagree,Agree,Agree,Somewhat disagree,Agree,Disagree,Agree,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,,43908
2020-10-28 10:08:22,2020-10-28 10:17:13,IP Address,192.245.0.2,99,531,False,2020-11-04 09:17:33,R_114NjdSOn2Rhb7W,,,,,,,anonymous,EN,,Chrome,86.0.4240.80,Macintosh,1280x800,18,12,english,right,female,woman,,heterosexual,,white,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,,44488
2020-10-28 13:35:05,2020-10-28 13:45:36,IP Address,128.227.20.233,99,630,False,2020-11-04 12:45:38,R_xrPmdgWuhVskZhv,,,,,,,anonymous,EN,,Chrome,85.0.4183.83,Macintosh,1440x900,18,12,english,right,female,woman,,bisexual,,do not wish to say,,Agree,Agree,Neutral,Agree,Strongly disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Agree,Disagree,Moderate clear and vivid,Vague and dim,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,44496
2020-10-29 07:47:16,2020-10-29 07:47:53,IP Address,174.70.78.156,4,36,False,2020-11-05 06:48:22,R_eKZNO3EU6sbU8GR,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41934
2020-10-28 14:43:01,2020-10-30 03:54:40,IP Address,66.103.9.148,99,133898,False,2020-11-06 02:54:58,R_YSPCATYaci3TAM9,,,,,,,anonymous,EN,,Chrome,86.0.4240.111,Macintosh,1440x900,20,14,english,right,female,woman,,heterosexual,,asian,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,42978
2020-10-30 12:42:15,2020-10-30 12:52:08,IP Address,128.227.137.195,97,593,False,2020-11-06 11:52:17,R_0BTz6HKM6FP7K9P,,,,,,,anonymous,EN,,Chrome,86.0.4240.111,Windows NT 10.0,1920x1080,123,12,english,not right,male,transgender woman,,homosexual,,black/afri-amer,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,41934
