image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5
Image_List_2,space,11.075565,space,2.60014,space,6.28264,space,3.423065,0,0,0,0,1,ahead.jpg,ahead_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,1.8265,space,1.71128,0,1,1,5,1,right.jpg,right_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,2.12086,space,3.663805,0,2,2,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,1.785265,space,1.348775,0,3,3,1,1,ahead_left.jpg,ahead_left_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.98211,space,0.6785,0,4,4,4,1,left.jpg,left_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.629605,space,0.668805,0,5,5,6,1,right_left.jpg,right_left_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.60035,space,0.541395,0,6,6,2,1,ahead_right.jpg,ahead_right_path.jpg,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,13.63838,"[""left_box"",""slight_right_box"",""right_box""]",space,5.765875,0,0,0,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,11.483505,"[""ahead_box""]",space,2.750845,0,1,1,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,6.12894,"[""right_box"",""slight_right_box""]",space,1.19743,0,2,2,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,10.24813,"[""ahead_box""]",space,1.01496,0,3,3,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,4.520475,"[""sharp_left_box""]",space,0.679255,0,4,4,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,8.12354,"[""left_box"",""right_box""]",space,2.05087,0,5,5,6,1,right_left_2.jpg,right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",space,9.21486,"[""slight_right_box""]",space,1.33365,0,6,6,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_slight_left_box"",""trial_left_box""]",,,,,,,,,,space,3.417035,attic1.jpg,space,3.095335,"[-0.19653970314164004,-0.37920993077742277]","[-0.2988510050585729,-0.2930935503194888]","[1,1]","[0,0]","[0,0]","[1.9041600000055041,2.9047300000020186]","[""trial_slight_left_box"",""trial_left_box""]",0,0,0,3,1,apartmentBuilding2.jpg,aquarium1.jpg,appleorchard2.jpg,alley3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_sharp_left_box""]",,,,,,,,,,,,deck2.jpg,space,4.91942,[-0.6036300252928648],[-0.309754392971246],[1],[0],[0],[4.247860000003129],"[""trial_sharp_left_box""]",0,1,1,29,1,cornfield2.jpg,cliff2.jpg,constructionSite4.jpg,bridalboutique3.jpg
