image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_1,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_2,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_1,space,5.277975,space,1.35308,space,3.517395,space,1.597745,0,0,0,2,1,ahead_right.jpg,ahead_right_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,4.489015,space,1.34294,0,1,1,6,1,right_left.jpg,right_left_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.55363,space,0.78831,0,2,2,4,1,left.jpg,left_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.2575,space,1.21227,0,3,3,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.7204,space,0.67903,0,4,4,1,1,ahead_left.jpg,ahead_left_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.96329,space,0.457955,0,5,5,5,1,right.jpg,right_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.873665,space,0.38252,0,6,6,0,1,ahead.jpg,ahead_path.jpg,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,"[1366,768]",space,16.63714,"[""ahead_box"",""slight_left_box""]",space,1.96896,0,0,0,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,"[1366,768]",space,2.86841,[],space,1.034045,0,1,1,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44523,2020-11-18_13h31.13.181,lingCatScenes,2020.1.3,Linux x86_64,60,"[1366,768]",space,5.5646,"[""sharp_right_box""]",space,0.62373,0,2,2,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
