image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,drawing,numDrawings,drawingSizes,practice_complete.keys,practice_complete.rt,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_1,trial_complete.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_2,Image_List_3,Image_List_4,Image_List_5,trial_complete.rt,key_resp.keys,key_resp.rt
Image_List_1,space,12.931,space,10.5126,space,3.5476,space,2.7389,0,0,0,1,1,ahead_left.jpg,ahead_left_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.636,space,0.8301,0,1,1,5,1,right.jpg,right_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,2.4538,space,0.5079,0,2,2,0,1,ahead.jpg,ahead_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.1611,space,0.8492,0,3,3,6,1,right_left.jpg,right_left_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.9174,space,0.4695,0,4,4,2,1,ahead_right.jpg,ahead_right_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.8753,space,0.5081,0,5,5,4,1,left.jpg,left_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.8008,space,0.5849,0,6,6,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,"[1280,800]","[[[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.005458984375,-0.1983984375],[-0.0008154296875,-0.19568359375],[0.0070703125,-0.1900439453125],[0.016748046875,-0.182900390625],[0.02603515625,-0.1748388671875],[0.0356787109375,-0.1681689453125],[0.04427734375,-0.16185546875],[0.0533203125,-0.155205078125],[0.062255859375,-0.1486376953125],[0.07134765625,-0.141357421875],[0.0805810546875,-0.1339794921875],[0.089638671875,-0.1267236328125],[0.098828125,-0.1193798828125],[0.10865234375,-0.111708984375],[0.1113037109375,-0.109052734375],[0.1178271484375,-0.1043798828125],[0.120341796875,-0.10185546875],[0.12345703125,-0.09873046875],[0.1260595703125,-0.096201171875],[0.129287109375,-0.0925],[0.132470703125,-0.0888623046875],[0.1355615234375,-0.08576171875],[0.137578125,-0.083369140625],[0.13970703125,-0.0803759765625],[0.141826171875,-0.077392578125],[0.1448828125,-0.0721826171875],[0.14572265625,-0.070498046875],[0.1483349609375,-0.064794921875],[0.149619140625,-0.060830078125],[0.1513916015625,-0.0568115234375],[0.15369140625,-0.0526611328125],[0.1557958984375,-0.049716796875],[0.1579052734375,-0.0467431640625],[0.1598193359375,-0.0448046875],[0.1623779296875,-0.042236328125],[0.1650341796875,-0.0391064453125],[0.16826171875,-0.035869140625],[0.1708056640625,-0.0333154296875],[0.17513671875,-0.0298974609375],[0.177587890625,-0.0278271484375],[0.1807080078125,-0.0251611328125],[0.1837255859375,-0.02298828125],[0.187724609375,-0.020751953125],[0.1917333984375,-0.0185107421875],[0.1963427734375,-0.0161962890625],[0.2003173828125,-0.014892578125],[0.204921875,-0.0130419921875],[0.208896484375,-0.01173828125],[0.2129052734375,-0.010419921875],[0.2179931640625,-0.0087109375],[0.2214013671875,-0.0078515625],[0.2248095703125,-0.0069921875],[0.2282177734375,-0.0057080078125],[0.2310888671875,-0.0052783203125],[0.2344970703125,-0.0044189453125],[0.237373046875,-0.0039892578125],[0.2396923828125,-0.003603515625],[0.2420263671875,-0.003212890625],[0.2443701171875,-0.003212890625],[0.2462548828125,-0.0028515625],[0.2488134765625,-0.0028515625],[0.2506640625,-0.002490234375],[0.25208984375,-0.002490234375],[0.253115234375,-0.002490234375],[0.2545263671875,-0.002490234375],[0.2559326171875,-0.002490234375],[0.2573583984375,-0.002490234375],[0.25876953125,-0.002490234375],[0.2594091796875,-0.002490234375],[0.260048828125,-0.002490234375],[0.2610107421875,-0.002490234375],[0.261650390625,-0.002490234375],[0.26197265625,-0.002490234375],[0.26197265625,-0.002490234375],[0.26197265625,-0.002490234375],[0.26197265625,-0.002490234375],[0.2616796875,-0.002490234375]]]",1,[86],space,16.4852,space,3.0012,0,0,0,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,"[1280,800]","[[[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.2006787109375],[-0.0043505859375,-0.1995166015625],[-0.0043505859375,-0.1858837890625],[-0.0043505859375,-0.1640966796875],[-0.0027587890625,-0.1439453125],[0.001181640625,-0.120927734375],[0.005712890625,-0.1004931640625],[0.0089453125,-0.0869775390625],[0.01158203125,-0.0724462890625],[0.01548828125,-0.0506591796875],[0.0191748046875,-0.0213623046875],[0.0216650390625,-0.00884765625],[0.0244384765625,0.0079150390625],[0.027763671875,0.0215185546875],[0.0285791015625,0.024404296875],[0.029609375,0.0254443359375],[0.029931640625,0.025771484375],[0.030234375,0.025771484375],[0.030537109375,0.025771484375],[0.03083984375,0.025771484375],[0.031142578125,0.025771484375],[0.031142578125,0.025771484375],[0.031142578125,0.025771484375],[0.031142578125,0.025771484375],[0.0314306640625,0.025771484375],[0.0320751953125,0.025771484375],[0.0323779296875,0.025771484375],[0.0330224609375,0.025771484375],[0.0333447265625,0.025771484375],[0.03396484375,0.025771484375],[0.0346044921875,0.025771484375],[0.0349267578125,0.025771484375],[0.0352294921875,0.025771484375],[0.0352294921875,0.025771484375],[0.0352294921875,0.025771484375],[0.0352294921875,0.025771484375],[0.0352294921875,0.0263623046875],[0.034765625,0.028671875],[0.030380859375,0.039921875],[0.02431640625,0.0594580078125],[0.021689453125,0.0742138671875],[0.0195361328125,0.091171875],[0.018388671875,0.101083984375],[0.017783203125,0.111025390625],[0.0172705078125,0.1183056640625],[0.0172705078125,0.1242138671875],[0.0172705078125,0.1301171875],[0.0172705078125,0.135380859375],[0.0172705078125,0.1423095703125],[0.0172705078125,0.1446142578125],[0.0176953125,0.1496875],[0.018076171875,0.1525439453125],[0.018857421875,0.1548974609375],[0.019599609375,0.156787109375],[0.0199462890625,0.1578173828125],[0.020302734375,0.1588623046875],[0.020625,0.1591845703125],[0.020625,0.15951171875],[0.0209228515625,0.15951171875],[0.0209228515625,0.15982421875],[0.0209228515625,0.15982421875],[0.0212158203125,0.15982421875],[0.0212158203125,0.15982421875],[0.0212158203125,0.160126953125],[0.0215185546875,0.160126953125],[0.0215185546875,0.1604345703125],[0.021826171875,0.16076171875],[0.021826171875,0.16076171875],[0.021826171875,0.161064453125],[0.02212890625,0.1613916015625],[0.02212890625,0.1613916015625],[0.02212890625,0.1613916015625],[0.02212890625,0.1613916015625],[0.0224169921875,0.1613916015625],[0.0224169921875,0.1613916015625],[0.0224169921875,0.1613916015625]]]",1,[86],space,4.7346,space,1.0724,0,1,1,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,46684,2022-03-17_11h05.30.267,analogCatScenes,2020.1.3,MacIntel,60,"[1280,800]","[[[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.19162109375],[-0.004560546875,-0.1907470703125],[-0.00859375,-0.1833154296875],[-0.015615234375,-0.1655517578125],[-0.020419921875,-0.14970703125],[-0.0253173828125,-0.132265625],[-0.0305029296875,-0.1130078125],[-0.03626953125,-0.0942724609375],[-0.0423046875,-0.07390625],[-0.048779296875,-0.0506884765625],[-0.055439453125,-0.0314453125],[-0.061240234375,-0.0141943359375],[-0.0671142578125,0.00052734375],[-0.0681787109375,0.004248046875],[-0.07109375,0.010078125],[-0.0738037109375,0.016337890625],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.021748046875],[-0.0744091796875,0.022041015625],[-0.074111328125,0.022041015625],[-0.074111328125,0.022041015625],[-0.074111328125,0.022041015625],[-0.074111328125,0.022041015625],[-0.0768896484375,0.0240283203125],[-0.08322265625,0.0321630859375],[-0.09265625,0.044970703125],[-0.10095703125,0.0594677734375],[-0.1117822265625,0.079404296875],[-0.121171875,0.09669921875],[-0.1280126953125,0.111748046875],[-0.1310595703125,0.118486328125],[-0.1355859375,0.1275439453125],[-0.1369580078125,0.130087890625],[-0.138115234375,0.1320751953125],[-0.1384423828125,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1327294921875],[-0.1387646484375,0.1330224609375],[-0.1449462890625,0.1429833984375],[-0.1493798828125,0.1513037109375],[-0.1525244140625,0.1580322265625],[-0.1561376953125,0.1641845703125],[-0.158955078125,0.1689111328125],[-0.1606494140625,0.1722998046875],[-0.1622119140625,0.1746435546875],[-0.1637158203125,0.1765380859375],[-0.1655322265625,0.1791357421875],[-0.1662451171875,0.1798486328125],[-0.1686669921875,0.1834423828125],[-0.169765625,0.185302734375],[-0.17048828125,0.18673828125],[-0.171171875,0.1877783203125],[-0.1714990234375,0.18810546875],[-0.1718212890625,0.1884130859375],[-0.1718212890625,0.188740234375],[-0.1718212890625,0.188740234375],[-0.1718212890625,0.188740234375],[-0.1718212890625,0.188740234375]],[[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1892919921875],[0.005810546875,-0.1878271484375],[0.009111328125,-0.178955078125],[0.015927734375,-0.164609375],[0.02267578125,-0.150419921875],[0.02830078125,-0.13740234375],[0.032470703125,-0.1266845703125],[0.0380810546875,-0.1124658203125],[0.0406201171875,-0.1061083984375],[0.0490478515625,-0.0866845703125],[0.051728515625,-0.079306640625],[0.0599951171875,-0.060888671875],[0.0647998046875,-0.050068359375],[0.068994140625,-0.0392724609375],[0.0739306640625,-0.0275146484375],[0.07798828125,-0.017587890625],[0.081240234375,-0.01046875],[0.0841064453125,-0.0051806640625],[0.0863232421875,-0.001650390625],[0.0877490234375,-0.00021484375],[0.0887158203125,0.0007666015625],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.00107421875],[0.0887158203125,0.0019482421875],[0.089794921875,0.0092626953125],[0.0938427734375,0.0191748046875],[0.0981005859375,0.0308349609375],[0.101240234375,0.0375830078125],[0.105654296875,0.0475732421875],[0.1105078125,0.0594775390625],[0.1137451171875,0.0676171875],[0.1149462890625,0.07302734375],[0.1196630859375,0.088994140625],[0.121787109375,0.0967138671875],[0.1244189453125,0.104111328125],[0.1262646484375,0.10873046875],[0.1278955078125,0.1116162109375],[0.1293896484375,0.1135107421875],[0.1308154296875,0.11458984375],[0.132236328125,0.1156640625],[0.1332666015625,0.1159912109375],[0.1342333984375,0.1166455078125],[0.1348779296875,0.1166455078125],[0.1351953125,0.1169677734375],[0.1351953125,0.1169677734375],[0.13548828125,0.1169677734375],[0.1357861328125,0.1169677734375],[0.1357861328125,0.1169677734375],[0.136083984375,0.1169677734375],[0.136083984375,0.1169677734375],[0.136083984375,0.1169677734375],[0.136083984375,0.1169677734375],[0.136083984375,0.1169677734375],[0.136083984375,0.1169677734375],[0.136083984375,0.1169677734375]]]",2,"[83,79]",space,13.2959,space,1.0813,0,2,2,6,1,right_left_2.jpg,right_left_2_path.jpg,,,,,,,,,,,,,,,,
