image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,drawing,numDrawings,drawingSizes,practice_complete.keys,practice_complete.rt,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_3,trial_complete.keys,trial_complete.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_2,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_3,space,6.52094,space,0.7632,space,1.910625,space,2.525715,0,0,0,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,1.0159,space,0.999265,0,1,1,2,1,ahead_right.jpg,ahead_right_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.712365,space,0.562045,0,2,2,0,1,ahead.jpg,ahead_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,1.43196,space,0.766165,0,3,3,5,1,right.jpg,right_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.5324,space,0.777095,0,4,4,1,1,ahead_left.jpg,ahead_left_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,1.020025,space,0.88189,0,5,5,6,1,right_left.jpg,right_left_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.568785,space,0.50967,0,6,6,4,1,left.jpg,left_path.jpg,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.19744791666666667],[0.0023046875,-0.1971875],[0.0025911458333333333,-0.19660590277777779],[0.0031640625,-0.19602430555555556],[0.0034331597222222224,-0.19575086805555555],[0.004006076388888889,-0.19516927083333332],[0.004578993055555556,-0.1948784722222222],[0.005151909722222223,-0.19458767361111112],[0.006358506944444444,-0.1940060763888889],[0.011258680555555555,-0.191015625],[0.023480902777777778,-0.1800737847222222],[0.04191840277777778,-0.16165364583333333],[0.06558159722222222,-0.13798177083333332],[0.08968315972222222,-0.11299479166666666],[0.1032204861111111,-0.10001302083333333],[0.10762586805555556,-0.09641927083333333],[0.11672309027777777,-0.0877560763888889],[0.11890190972222223,-0.08591579861111111],[0.13359375,-0.0725607638888889],[0.1698654513888889,-0.04221354166666667],[0.20424045138888888,-0.014500868055555555],[0.21455729166666668,-0.004835069444444445],[0.22855902777777778,0.0065451388888888885],[0.23465277777777777,0.012113715277777777],[0.23981336805555556,0.015863715277777777],[0.2530121527777778,0.024049479166666665],[0.2615972222222222,0.028880208333333334],[0.26938802083333335,0.033567708333333335],[0.2751866319444444,0.036883680555555555],[0.27686197916666666,0.037235243055555554],[0.2774348958333333,0.037235243055555554],[0.2774348958333333,0.037235243055555554],[0.2774348958333333,0.037235243055555554],[0.2774348958333333,0.037235243055555554],[0.2774348958333333,0.037235243055555554],[0.2774348958333333,0.03669270833333333],[0.2774348958333333,0.036119791666666665],[0.2774348958333333,0.035546875],[0.2774348958333333,0.03497829861111111],[0.2774348958333333,0.034405381944444445],[0.2774348958333333,0.03354600694444444],[0.2774348958333333,0.032625868055555556],[0.2774348958333333,0.03205729166666667],[0.2777517361111111,0.030789930555555556],[0.2783550347222222,0.029869791666666666],[0.27901909722222223,0.028194444444444446],[0.28129340277777776,0.02633246527777778],[0.28447916666666667,0.024375],[0.289765625,0.022174479166666667],[0.29571180555555554,0.0203515625],[0.3023177083333333,0.018467881944444445],[0.3109722222222222,0.015703125],[0.3169184027777778,0.013880208333333333],[0.3216102430555556,0.012178819444444445],[0.3257074652777778,0.010950520833333333],[0.3277907986111111,0.009908854166666667],[0.3291189236111111,0.00927517361111111],[0.3300390625,0.008671875],[0.3306076388888889,0.008103298611111111],[0.3306076388888889,0.008103298611111111],[0.33087239583333333,0.008103298611111111],[0.33087239583333333,0.008103298611111111],[0.33087239583333333,0.008103298611111111],[0.33087239583333333,0.009006076388888888],[0.33087239583333333,0.010282118055555555],[0.33087239583333333,0.010920138888888889]]]",1,[82],space,7.21123,space,1.402955,0,0,0,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.20455295138888888],[-0.0006467013888888889,-0.19817708333333334],[-0.0006467013888888889,-0.1893402777777778],[-0.0006467013888888889,-0.17525607638888888],[-0.0006467013888888889,-0.16917534722222222],[-0.0006467013888888889,-0.16447482638888888],[-0.0006467013888888889,-0.1623828125],[-0.0006467013888888889,-0.1591015625],[-0.0001779513888888889,-0.15248697916666668],[0.0013194444444444445,-0.1450737847222222],[0.002717013888888889,-0.13856336805555555],[0.0035329861111111113,-0.13445746527777777],[0.003880208333333333,-0.13207465277777777],[0.003880208333333333,-0.13149305555555554],[0.003880208333333333,-0.12820746527777777],[0.004635416666666667,-0.12516927083333335],[0.005013020833333334,-0.12159722222222222],[0.005390625,-0.11856770833333333],[0.005703125,-0.11688802083333333],[0.006076388888888889,-0.11434027777777778],[0.008506944444444444,-0.10710503472222223],[0.012881944444444444,-0.09655815972222222],[0.01908420138888889,-0.08157552083333333],[0.021375868055555556,-0.07562934027777778],[0.022573784722222223,-0.07205729166666666],[0.022890625,-0.07037326388888888],[0.02329861111111111,-0.06768229166666667],[0.025121527777777777,-0.06172743055555555],[0.027543402777777778,-0.05486545138888889],[0.029366319444444445,-0.04891059027777778],[0.03015190972222222,-0.04534288194444445],[0.030963541666666667,-0.0412109375],[0.03177517361111111,-0.037126736111111114],[0.03359375,-0.02845920138888889],[0.034440104166666666,-0.023758680555555557],[0.0351953125,-0.02065972222222222],[0.035481770833333336,-0.019322916666666665],[0.035481770833333336,-0.018684895833333333],[0.035481770833333336,-0.018411458333333332],[0.035481770833333336,-0.018411458333333332],[0.035481770833333336,-0.018146701388888888],[0.035481770833333336,-0.017569444444444443],[0.03490451388888889,-0.0169921875],[0.032174479166666665,-0.015620659722222222],[0.030655381944444445,-0.015238715277777778]],[[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.0033463541666666667,-0.2019748263888889],[-0.002560763888888889,-0.20118489583333332],[0.006158854166666667,-0.1918923611111111],[0.02314670138888889,-0.1736675347222222],[0.02877170138888889,-0.1670920138888889],[0.03414496527777778,-0.16171006944444444],[0.03547309027777778,-0.16002604166666667],[0.03651475694444444,-0.15938802083333334],[0.03884114583333333,-0.15815972222222222],[0.05075086805555556,-0.14749565972222223],[0.05677951388888889,-0.14139322916666666],[0.0628125,-0.13529079861111112],[0.06677951388888889,-0.13131510416666667],[0.07233940972222222,-0.12593315972222222],[0.08894097222222222,-0.11145833333333334],[0.09569444444444444,-0.10469618055555556],[0.10065972222222222,-0.09874565972222223],[0.105625,-0.09279513888888889],[0.10754774305555556,-0.09010416666666667],[0.11597222222222223,-0.08000868055555556],[0.1253515625,-0.07178385416666666],[0.13072048611111112,-0.06593315972222222],[0.13546875,-0.0607421875],[0.13815104166666667,-0.05881076388888889],[0.1394748263888889,-0.05846354166666667],[0.14004774305555556,-0.05846354166666667],[0.1403125,-0.05846354166666667],[0.1403125,-0.05846354166666667],[0.14057291666666666,-0.05846354166666667],[0.14057291666666666,-0.05846354166666667],[0.14083333333333334,-0.05846354166666667],[0.14083333333333334,-0.05846354166666667],[0.14109809027777778,-0.05846354166666667],[0.14136284722222223,-0.05846354166666667],[0.1419357638888889,-0.05846354166666667],[0.15048177083333333,-0.0520703125],[0.15404513888888888,-0.050078125],[0.1573263888888889,-0.04761284722222222],[0.15960069444444444,-0.0457421875],[0.16086805555555556,-0.04509982638888889],[0.16144097222222223,-0.04480902777777778],[0.16144097222222223,-0.04480902777777778],[0.16170572916666667,-0.04480902777777778],[0.16170572916666667,-0.04453559027777778],[0.16170572916666667,-0.04453559027777778],[0.16170572916666667,-0.04453559027777778],[0.16170572916666667,-0.04453559027777778],[0.16170572916666667,-0.04453559027777778],[0.1614453125,-0.04453559027777778],[0.16039930555555557,-0.04453559027777778]],[[-0.0012369791666666666,-0.19473524305555556],[-0.0012369791666666666,-0.19473524305555556],[-0.0012369791666666666,-0.19473524305555556],[-0.0012369791666666666,-0.19473524305555556],[-0.0012369791666666666,-0.19473524305555556],[-0.0012369791666666666,-0.19473524305555556],[-0.0012369791666666666,-0.19473524305555556],[-0.0025434027777777777,-0.19473524305555556],[-0.007243923611111111,-0.19473524305555556],[-0.013919270833333334,-0.1937890625],[-0.020499131944444443,-0.19190538194444445],[-0.030065104166666665,-0.19030815972222223],[-0.03740017361111111,-0.18788194444444445],[-0.04578125,-0.18498263888888888],[-0.053237847222222225,-0.18151909722222223],[-0.05793836805555556,-0.17896267361111112],[-0.0634201388888889,-0.17574652777777777],[-0.06890190972222222,-0.17253038194444445],[-0.07338107638888888,-0.16940538194444443],[-0.07764322916666666,-0.16640625],[-0.08442274305555555,-0.16142361111111111],[-0.08606770833333334,-0.16019097222222223],[-0.09071614583333333,-0.1570529513888889],[-0.09435763888888889,-0.15502170138888888],[-0.09823784722222222,-0.15243055555555557],[-0.10384114583333333,-0.1496267361111111],[-0.10741319444444444,-0.14804253472222223],[-0.11110677083333333,-0.1463671875],[-0.1142013888888889,-0.14484809027777779],[-0.11676215277777778,-0.14338975694444445],[-0.11980034722222223,-0.1418706597222222],[-0.1223654513888889,-0.1404123263888889],[-0.12454861111111111,-0.1385763888888889],[-0.1271875,-0.13669704861111112],[-0.13133680555555555,-0.13406684027777777],[-0.13453993055555555,-0.131640625],[-0.13842013888888888,-0.12858072916666666],[-0.142265625,-0.1255859375],[-0.14730902777777777,-0.12145833333333333],[-0.15235243055555556,-0.11779947916666667],[-0.15739583333333335,-0.113671875],[-0.16278211805555556,-0.10923177083333334],[-0.1661284722222222,-0.106328125],[-0.16952690972222223,-0.10248697916666667],[-0.17228732638888888,-0.0997265625],[-0.17412760416666667,-0.0975390625],[-0.17543836805555554,-0.09556423611111112],[-0.1760503472222222,-0.09463541666666667],[-0.17634114583333332,-0.09405381944444445],[-0.176953125,-0.093125],[-0.17765190972222222,-0.09103298611111112],[-0.17838541666666666,-0.08846788194444444],[-0.1795269097222222,-0.0854296875],[-0.18117621527777777,-0.08132378472222222],[-0.18237413194444443,-0.0777734375],[-0.1831597222222222,-0.07423611111111111],[-0.1843012152777778,-0.07119791666666667],[-0.1850043402777778,-0.06758680555555556],[-0.1856467013888889,-0.06631076388888889],[-0.1859375,-0.06572916666666667],[-0.18622829861111112,-0.06543836805555556],[-0.18649739583333333,-0.06543836805555556],[-0.18649739583333333,-0.06543836805555556],[-0.18676649305555557,-0.06543836805555556],[-0.18676649305555557,-0.06543836805555556],[-0.18676649305555557,-0.06626302083333334],[-0.18676649305555557,-0.06831163194444445]]]",3,"[54,59,67]",space,5.98101,space,2.29736,0,1,1,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20919270833333334],[-0.005815972222222222,-0.20840711805555556],[-0.005815972222222222,-0.2001953125],[-0.007174479166666667,-0.18504774305555555],[-0.010056423611111111,-0.16338107638888888],[-0.013003472222222222,-0.140546875],[-0.01576388888888889,-0.11643229166666667],[-0.021223958333333334,-0.09046006944444444],[-0.02705295138888889,-0.06878038194444444],[-0.03895399305555555,-0.03828125],[-0.052734375,-0.00640625],[-0.06907986111111111,0.028098958333333333],[-0.083203125,0.056310763888888886],[-0.09651475694444445,0.07980034722222222],[-0.10951388888888888,0.10202690972222223],[-0.11996961805555556,0.12442708333333333],[-0.13147135416666667,0.15269097222222222],[-0.13608940972222222,0.16323784722222223],[-0.14024305555555555,0.17207465277777778],[-0.14232638888888888,0.17624131944444443],[-0.14340711805555556,0.1783984375],[-0.1439887152777778,0.17868923611111112],[-0.1439887152777778,0.17868923611111112],[-0.1439887152777778,0.17868923611111112],[-0.1439887152777778,0.17868923611111112]],[[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.010603298611111112,-0.19078993055555554],[-0.006827256944444445,-0.18194010416666667],[-0.00013020833333333333,-0.16919704861111112],[0.004835069444444445,-0.15830729166666666],[0.018489583333333334,-0.1348654513888889],[0.027144097222222222,-0.12253472222222223],[0.04010416666666667,-0.10380208333333334],[0.06437065972222222,-0.06762152777777777],[0.07895833333333334,-0.043125],[0.09770399305555555,-0.010091145833333334],[0.11579427083333334,0.01918402777777778],[0.12556423611111112,0.036779513888888886],[0.1423090277777778,0.06455729166666667],[0.16128038194444444,0.09381510416666666],[0.16718315972222222,0.10186197916666667],[0.1725173611111111,0.11047309027777778],[0.17563368055555556,0.11495225694444444],[0.17702256944444444,0.117109375],[0.17762586805555555,0.11803819444444444],[0.18389322916666667,0.12566840277777777],[0.19273871527777778,0.13442708333333334],[0.19614149305555556,0.13828125],[0.1996527777777778,0.14274305555555555],[0.20157552083333333,0.14543402777777778],[0.20246527777777779,0.14665364583333335],[0.20246527777777779,0.14692708333333335],[0.20246527777777779,0.14692708333333335],[0.20246527777777779,0.14719618055555556],[0.20246527777777779,0.14719618055555556],[0.20246527777777779,0.14719618055555556],[0.19978732638888888,0.14719618055555556]]]",2,"[34,40]",space,4.396385,space,0.780705,0,2,2,6,1,right_left_2.jpg,right_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[-0.0006944444444444445,-0.19706163194444445],[-0.0006944444444444445,-0.19706163194444445],[-0.0006944444444444445,-0.19706163194444445],[-0.0006944444444444445,-0.19706163194444445],[-0.0006944444444444445,-0.18177951388888888],[-0.0006944444444444445,-0.14645833333333333],[-0.0006944444444444445,-0.05176215277777778],[-0.0006944444444444445,0.034205729166666664],[-0.0006944444444444445,0.09186631944444444],[0.003936631944444445,0.15917100694444444],[0.005,0.22086805555555555],[0.005,0.2471831597222222],[0.005,0.2597699652777778],[0.005,0.26897569444444447],[0.005,0.27166666666666667],[0.005,0.27195746527777775],[0.005,0.27195746527777775]]]",1,[17],space,1.636065,space,0.522185,0,3,3,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[0.0026822916666666666,-0.20435329861111112],[0.0026822916666666666,-0.20435329861111112],[0.0026822916666666666,-0.20435329861111112],[0.0026822916666666666,-0.20435329861111112],[0.0026822916666666666,-0.20435329861111112],[0.0026822916666666666,-0.20435329861111112],[0.0026822916666666666,-0.20081597222222222],[0.0026822916666666666,-0.16875434027777778],[0.0026822916666666666,-0.08311197916666667],[0.009448784722222223,0.015499131944444444],[0.018663194444444444,0.10507378472222222],[0.03427517361111111,0.241796875],[0.039036458333333336,0.30328993055555553],[0.041480034722222225,0.3542881944444444],[0.041480034722222225,0.3714236111111111],[0.041480034722222225,0.39450086805555556],[0.041480034722222225,0.4041666666666667],[0.041480034722222225,0.40584635416666665],[0.041480034722222225,0.40584635416666665],[0.041480034722222225,0.40584635416666665]]]",1,[20],space,3.07718,space,0.834875,0,4,4,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[0.005607638888888889,-0.20309461805555556],[0.005607638888888889,-0.20309461805555556],[0.005607638888888889,-0.20309461805555556],[0.005607638888888889,-0.20309461805555556],[0.005607638888888889,-0.20309461805555556],[0.005607638888888889,-0.20309461805555556],[0.005607638888888889,-0.20283420138888889],[0.005607638888888889,-0.18450086805555554],[0.005607638888888889,-0.12708333333333333],[0.005607638888888889,-0.041979166666666665],[0.005607638888888889,0.0227734375],[0.005607638888888889,0.0637717013888889],[0.005607638888888889,0.08736111111111111],[0.005607638888888889,0.11469184027777778],[0.004661458333333333,0.12005208333333334],[0.003459201388888889,0.12421875],[0.0024131944444444444,0.12630208333333334],[0.0021223958333333333,0.12659288194444446],[0.0021223958333333333,0.12659288194444446]],[[0.005651041666666667,-0.19697048611111112],[0.005651041666666667,-0.19697048611111112],[0.005651041666666667,-0.19697048611111112],[0.005651041666666667,-0.19697048611111112],[0.005651041666666667,-0.19697048611111112],[0.005651041666666667,-0.19697048611111112],[0.0124609375,-0.19697048611111112],[0.03485243055555556,-0.1914236111111111],[0.07695746527777778,-0.17795572916666666],[0.11019097222222222,-0.1660546875],[0.13648003472222223,-0.15872395833333333],[0.16078125,-0.1520138888888889],[0.18341145833333333,-0.14570746527777778],[0.1877560763888889,-0.1448828125],[0.1903125,-0.1437717013888889],[0.19135416666666666,-0.1437717013888889],[0.19192708333333333,-0.1437717013888889],[0.1924826388888889,-0.1437717013888889],[0.1924826388888889,-0.1437717013888889],[0.1924826388888889,-0.1437717013888889],[0.1924826388888889,-0.1437717013888889]]]",2,"[19,21]",space,2.87552,space,0.495365,0,5,5,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,43903,2020-11-08_18h19.45.072,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]","[[[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.20188802083333332],[0.010594618055555555,-0.19560763888888888],[0.010594618055555555,-0.18323784722222222],[0.010594618055555555,-0.15801649305555557],[0.006671006944444445,-0.12980902777777778],[-0.006358506944444444,-0.08665364583333333],[-0.020581597222222223,-0.0631640625],[-0.036809895833333335,-0.045494791666666666],[-0.055199652777777775,-0.0307421875],[-0.07631076388888888,-0.01720920138888889],[-0.09901475694444445,-0.002322048611111111],[-0.12344184027777778,0.013962673611111111],[-0.13702690972222223,0.02372829861111111],[-0.14519965277777777,0.030243055555555554],[-0.15230902777777777,0.035277777777777776],[-0.15563802083333333,0.03784722222222222],[-0.15656684027777779,0.03845920138888889],[-0.1574956597222222,0.03909722222222222],[-0.15877170138888888,0.040056423611111114],[-0.1608637152777778,0.041453993055555555],[-0.16182291666666668,0.04273003472222222],[-0.16243489583333334,0.043658854166666664],[-0.16243489583333334,0.044240451388888886],[-0.16243489583333334,0.04451388888888889],[-0.16186197916666667,0.0448046875],[-0.1612890625,0.045386284722222225],[-0.16065538194444445,0.04776909722222222],[-0.16065538194444445,0.052469618055555556],[-0.1642361111111111,0.0655859375],[-0.17213975694444444,0.08138454861111111],[-0.18008246527777777,0.09290364583333334],[-0.1903689236111111,0.10579427083333333],[-0.19734375,0.11232638888888889],[-0.20389756944444445,0.11794270833333333],[-0.20876302083333334,0.1210546875],[-0.21145399305555557,0.1226388888888889],[-0.21302083333333333,0.12357204861111111],[-0.21302083333333333,0.12357204861111111],[-0.21302083333333333,0.12384114583333333]],[[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20594618055555555],[-0.0027083333333333334,-0.20515625],[-0.0027083333333333334,-0.20146701388888888],[-0.0027083333333333334,-0.19479166666666667],[-0.0032118055555555554,-0.18346354166666667],[-0.006423611111111111,-0.1738454861111111],[-0.010824652777777779,-0.16338541666666667],[-0.016475694444444446,-0.15321180555555555],[-0.024227430555555554,-0.14188368055555556],[-0.03237413194444445,-0.13260850694444445],[-0.03975694444444444,-0.12350260416666667],[-0.04651909722222222,-0.11727430555555556],[-0.05398871527777778,-0.11087239583333333],[-0.060707465277777775,-0.10468315972222222],[-0.06758680555555556,-0.09779513888888888],[-0.07506944444444444,-0.09084635416666667],[-0.08557291666666667,-0.08141059027777778],[-0.09383680555555556,-0.07480902777777777],[-0.10372395833333334,-0.06667534722222222],[-0.115390625,-0.056449652777777776],[-0.12664930555555556,-0.0464453125],[-0.13569010416666666,-0.03853298611111111],[-0.1430642361111111,-0.0316796875],[-0.14982638888888888,-0.025451388888888888],[-0.15730902777777778,-0.019036458333333332],[-0.16707899305555557,-0.010998263888888889],[-0.18148871527777777,0.00109375],[-0.19102864583333334,0.010633680555555556],[-0.19928819444444446,0.018328993055555555],[-0.20677083333333332,0.025811631944444444],[-0.2128125,0.03185329861111111],[-0.21640625,0.03585503472222222],[-0.21940538194444445,0.039709201388888886],[-0.22185763888888888,0.042981770833333335],[-0.22296440972222223,0.045533854166666665],[-0.22401475694444445,0.047625868055555555],[-0.22494791666666666,0.049192708333333335],[-0.2255295138888889,0.04948350694444444],[-0.2258203125,0.04977430555555556],[-0.22609375,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556],[-0.2263671875,0.04977430555555556]]]",2,"[46,55]",space,6.57654,space,0.558525,0,6,6,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,
