image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_2,space,4.13659,space,2.797965,space,16.816305,space,5.230445,0,0,0,2,1,ahead_right.jpg,ahead_right_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,12.287335,space,2.090155,0,1,1,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,10.22336,space,1.43816,0,2,2,4,1,left.jpg,left_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.953165,space,4.584235,0,3,3,5,1,right.jpg,right_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.045195,space,0.438195,0,4,4,1,1,ahead_left.jpg,ahead_left_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,3.81834,space,0.192925,0,5,5,0,1,ahead.jpg,ahead_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.133155,space,0.204325,0,6,6,6,1,right_left.jpg,right_left_path.jpg,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,0.13546,[],space,0.189615,0,0,0,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,27.76441,"[""slight_right_box"",""right_box"",""ahead_box""]",space,1.7499,0,1,1,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,9.268375,"[""ahead_box"",""slight_right_box"",""slight_left_box""]",space,0.953895,0,2,2,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,2.056115,"[""ahead_box""]",space,5.2781,0,3,3,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,8.941075,"[""left_box"",""slight_right_box""]",space,2.248755,0,4,4,6,1,right_left_2.jpg,right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,11.54905,"[""sharp_left_box"",""right_box""]",space,1.994755,0,5,5,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",space,14.26763,"[""slight_left_box"",""ahead_box""]",space,3.46949,0,6,6,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_left_box"",""trial_ahead_box""]",,,,,,,,,,space,3.70276,bedroom6.jpg,space,5.74808,"[-0.3932291666666667,0.014322916666666666]","[-0.3111979166666667,-0.296875]","[1,1]","[0,0]","[0,0]","[4.200414999970235,5.43632500001695]","[""trial_left_box"",""trial_ahead_box""]",0,0,0,12,1,baggageClaim4.jpg,bambooforest5.jpg,bleachers7.jpg,backyard5.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_right_box""]",,,,,,,,,,,,poolhall1.jpg,space,3.149915,"[0.23046875,0.19921875,-0.1875]","[-0.3190104166666667,-0.2981770833333333,-0.2721354166666667]","[1,1,1]","[0,0,0]","[0,0,0]","[1.4792849999503233,1.8136549999471754,2.7938149999827147]","[""trial_slight_right_box""]",0,1,1,78,1,parkinglot3.jpg,pier5.jpg,pavilion3.jpg,observatory1.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_left_box"",""trial_left_box""]",,,,,,,,,,,,volleyballcourt4.jpg,space,3.989085,"[-0.20833333333333334,-0.0013020833333333333,-0.0078125,-0.3971354166666667]","[-0.3151041666666667,-0.3111979166666667,-0.3059895833333333,-0.2942708333333333]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0702499999897555,2.167959999991581,2.9005400000023656,3.5990699999965727]","[""trial_slight_left_box"",""trial_ahead_box"",""trial_ahead_box"",""trial_left_box""]",0,2,2,93,1,tollbooth8.jpg,staircase4.jpg,warehouseoutside2.jpg,tenniscourt.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_right_box"",""trial_slight_right_box""]",,,,,,,,,,,,racecarcourse2.jpg,space,3.749245,"[0.4036458333333333,0.20442708333333334,0.026041666666666668]","[-0.3072916666666667,-0.31640625,-0.2994791666666667]","[1,1,1]","[0,0,0]","[0,0,0]","[2.2681250000023283,2.88349500001641,3.449190000013914]","[""trial_right_box"",""trial_slight_right_box""]",0,3,3,80,1,pavilion2.jpg,porch.jpg,poolhall5.jpg,parkinggarage4.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_left_box""]",,,,,,,,,,,,volleyballcourt.jpg,space,2.58618,"[-0.38671875,-0.028645833333333332]","[-0.3072916666666667,-0.29296875]","[1,1]","[0,0]","[0,0]","[1.5822150000021793,2.215054999978747]","[""trial_left_box""]",0,4,4,92,1,staircase.jpg,skatepark7.jpg,tvstudio2.jpg,soccerfield2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_ahead_box""]",,,,,,,,,,,,frontLawn5.jpg,space,1.442,[0.0013020833333333333],[-0.2942708333333333],[1],[0],[0],[1.1419899999746121],"[""trial_ahead_box""]",0,5,5,46,1,flowershop.jpg,farmersmarket4.jpg,fountain4.jpg,dormroom6.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_ahead_box""]",,,,,,,,,,,,sidewalk5.jpg,space,1.729285,[0.01171875],[-0.2877604166666667],[1],[0],[0],[1.4526649999897927],"[""trial_ahead_box""]",0,6,6,85,1,recordingstudio4.jpg,ruralroad2.jpg,sandDunes_desert_outdoor3.jpg,rooftop3.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_ahead_box""]",,,,,,,,,,,,deck2.jpg,space,1.298145,[0.0078125],[-0.2877604166666667],[1],[0],[0],[1.0575299999909475],"[""trial_ahead_box""]",0,7,7,29,1,cornfield2.jpg,cliff2.jpg,constructionSite4.jpg,bridalboutique3.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_left_box"",""trial_slight_right_box"",""trial_ahead_box""]",,,,,,,,,,,,homeoffice.jpg,space,3.96159,"[-0.20703125,-0.44140625,0.19791666666666666,0.00390625]","[-0.3020833333333333,-0.2994791666666667,-0.29296875,-0.32421875]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.5850850000279024,2.167075000004843,2.9665050000185147,3.7307950000395067]","[""trial_slight_left_box"",""trial_slight_right_box"",""trial_ahead_box""]",0,8,8,53,1,gazebo3.jpg,frontLawn3.jpg,homegarage3.jpg,fountain.jpg,,
