image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_2,space,25.48431,space,4.59511,space,6.51552,space,8.135175,0,0,0,1,1,ahead_left.jpg,ahead_left_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,4.646785,space,2.283665,0,1,1,2,1,ahead_right.jpg,ahead_right_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,2.99424,space,2.57336,0,2,2,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,3.27516,space,1.731135,0,3,3,5,1,right.jpg,right_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,1.60992,space,18.94076,0,4,4,4,1,left.jpg,left_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,1.49634,space,0.88049,0,5,5,6,1,right_left.jpg,right_left_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,space,0.4594,space,0.344,0,6,6,0,1,ahead.jpg,ahead_path.jpg,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,0.30605,[],space,0.436365,0,0,0,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,0.328015,[],space,0.34461,0,1,1,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,0.407465,[],space,0.24079,0,2,2,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
