Participant ID,Drawing_Correlations_5,Drawing_Correlations_12,Drawing_Correlations_24,VVIQ_Open_Average,VVIQ_Closed_Average,VVIQ_Total_Average
43812,0.290899054,0.323938451,0.367712604,1,1,1
43823,0.226063803,0.248201714,0.282768366,3,3.0625,3.03125
43851,0.322992976,0.351906112,0.377499919,1.533333,1.125,1.329167
43887,0.232673692,0.262530644,0.279293416,2.866667,2.1875,2.527083
43903,0.333332265,0.375309214,0.431832797,2.933333,1.75,2.341667
43947,0.220757443,0.249201846,0.289399175,1.2,1.375,1.2875
43974,0.263839209,0.292984529,0.360624185,2.333333,2.4375,2.385417
43992,0.28126085,0.312000927,0.358334511,1.933333,2,1.966667
44124,0.33206821,0.375250497,0.399667863,2.333333,1.8125,2.072917
44162,0.259441968,0.291971744,0.322183232,1.2,1.4375,1.31875
44213,0.244884404,0.267323835,0.29538509,2.066667,2,2.033333
44225,0.209328575,0.230426359,0.276366645,3.4,3.375,3.3875
44235,0.295827986,0.33880339,0.40131566,2.066667,1.5625,1.814583
44238,0.23815873,0.266378617,0.309299988,1.733333,2.625,2.179167
44239,0.249067915,0.270899749,0.336057966,1.666667,1.875,1.770833
44241,0.266644921,0.310033003,0.369447132,2.466667,2.375,2.420833
44273,0.265486348,0.291415783,0.335535173,2.4,1.75,2.075
44293,0.358021711,0.410941302,0.497540211,1.133333,1.0625,1.097917
44313,0.21832265,0.231212779,0.249480742,1.4,1.3125,1.35625
44317,0.228906526,0.251162509,0.312624745,2.266667,2.25,2.258333
44322,0.189645555,0.211973178,0.231783229,2.533333,1.875,2.204167
44332,0.249021503,0.268426691,0.326227378,2.2,2.5,2.35
44347,0.22824224,0.261982683,0.290293316,2.933333,1.625,2.279167
44354,0.375615776,0.418970674,0.479930095,1.866667,1.6875,1.777083
44380,0.23758626,0.276379051,0.325302128,2.2,1.3125,1.75625
44401,0.257753013,0.288453726,0.311765917,2.733333,2.625,2.679167
44422,0.249699513,0.279011099,0.328175632,1.6,1.4375,1.51875
44477,0.23747883,0.266707862,0.327891264,2.666667,3.375,3.020833
44480,0.22138504,0.262630986,0.295471909,1.733333,1.5625,1.647917
44502,0.20898746,0.240694521,0.255451568,1.533333,1.125,1.329167
44513,0.213198204,0.239065052,0.270107404,1.933333,1.5625,1.747917
44518,0.243698932,0.270024805,0.29865298,2.2,2.25,2.225
44526,0.359527448,0.416088315,0.458474556,1.8,1.75,1.775
44532,0.326312575,0.372197139,0.440856197,1.066667,1,1.033333
44533,0.338432042,0.375138993,0.440572898,2.666667,2.9375,2.802083
44542,0.299078244,0.334341928,0.387754516,2.4,2,2.2
44545,0.257420736,0.279054074,0.333522798,2.466667,2.5,2.483333
44563,0.303725648,0.34996973,0.394091404,3.75,3.75,3.75
44576,0.233580277,0.276757681,0.311712165,2.333333,1.8125,2.072917
44581,0.334717499,0.371686781,0.415023715,1.733333,1.6875,1.6875
44606,0.261260266,0.304459446,0.33810771,1.266667,2.1875,1.727083
44607,0.216671314,0.229895623,0.285955095,1.533333,1.0625,1.297917
44608,0.293777652,0.334803553,0.389476256,1.466667,1.125,1.295833
44614,0.253982591,0.278448571,0.318808094,2.2,1.4375,1.4375
46455,0.265868919,0.300699355,0.333747163,3.6,3.1875,3.39375
46463,0.30682901,0.32842161,0.369496925,3,3.125,3.0625
46466,0.224345432,0.261165089,0.310018407,2.066667,1.6875,1.877083
46470,0.217916471,0.234542653,0.275750323,1.533333,1.25,1.391667
46473,0.289972586,0.31432807,0.365768443,1.8,1.0625,1.43125
46475,0.266480491,0.308869128,0.364711594,1.533333,1,1.266667
46502,0.239306539,0.255699485,0.280539526,2.666667,2.3125,2.489583
46518,0.292125017,0.331269686,0.373664544,2.266667,3,2.633333
46524,0.222515111,0.241882306,0.277783401,2.666667,2.8125,2.739583
46533,0.312278443,0.356726495,0.415718396,1.733333,1.75,1.741667
46542,0.32396655,0.370387833,0.432217708,2.6,2.125,2.3625
46551,0.223129877,0.257215422,0.288817503,2.666667,1.75,2.208333
46575,0.269524316,0.300788529,0.349991069,4.266667,4.3125,4.289583
46612,0.266485749,0.300113931,0.344954945,3,2.5625,2.78125
46617,0.225584325,0.250639368,0.273554877,3,2.75,2.875
46621,0.304391312,0.347660542,0.418965533,3,2,2.5
46622,0.271617041,0.299821914,0.361077737,3.066667,3.25,3.158333
46628,0.312828062,0.34874356,0.405600025,1.466667,1.4375,1.452083
46661,0.223564319,0.246449808,0.297378979,3.933333,2.75,3.341667
46684,0.28301687,0.321204796,0.373098472,1.4,1.1875,1.29375
46689,0.279544299,0.316324191,0.362910352,1.8,2.4375,2.11875
46690,0.29942336,0.33783627,0.379240361,3.066667,2.8125,2.939583
46695,0.270468279,0.301866054,0.328260128,1.8,2.25,2.025
46711,0.204417044,0.245746306,0.265057271,3.666667,3.625,3.645833
46760,0.296427185,0.323661968,0.353435583,2.4,1.75,2.075
46781,0.270376828,0.320419377,0.376740087,5,4.75,4.875
46783,0.226491758,0.255822884,0.294606427,1.733333,1,1.366667
